definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,jlpt_level,lesson_codes,tags,id,row_num,date_added,,dictionary_form,past_form,te_form,negative_form,negative_past_form,negative_te_form,polite_form,polite_past_form,polite_te_form,polite_negative_form,polite_negative_past_form,polite_negative_te_form
cake,ケーキ,ケえき,,,NOUN,,4,,{food},e182997f-4799-5c3c-a985-ed126db9687e,395,2022-08-12,,,,,,,,,,,,,
rice ball,お握り,おにぎり,,お握り,NOUN,,,,{food},676d3eb5-4992-5047-ad16-142df7b8ec38,396,2022-08-12,,,,,,,,,,,,,
salt,塩,しお,,塩,NOUN,,5,,{food},cd548aa6-54f8-5f0a-b55f-c0fcf26dbc2a,397,2022-08-12,,,,,,,,,,,,,
chopsticks,箸,はし,,箸,NOUN,,5,{GENKI3_L08},"{food,kitchen}",f9253f00-8203-5dc9-89f5-a39b4d3d9d55,398,2022-08-20,,,,,,,,,,,,,
(some) more; longer; further,もっと,もっと,,,ADVERB,,5,,,ca8b76ff-0345-5367-855a-fd69329898a6,399,2022-08-12,,,,,,,,,,,,,
geek; nerd,オタク,おたく,,,NOUN,,,,{slang},fa69ee4d-ab8a-5daf-8701-abab724eaade,400,2022-08-12,,,,,,,,,,,,,
hot water; hot bath; hot spring,湯,ゆ,,湯,NOUN,,4,,{water},3953151e-3280-5665-8c64-1bfabbedcdd2,401,2022-08-12,,,,,,,,,,,,,
hot spring,温泉,おんせん,,温泉,NOUN,,2,,,8c842dec-6e97-54b7-ad74-2408c4b88677,402,2022-08-12,,,,,,,,,,,,,
to stop moving; to come to a stop,止まる,とまる,,止まる,VERB,,,,,c30f6fb9-5695-5c83-80b8-6ff6fa07ce2e,403,2022-09-02,,,,,,,,,,,,,
stop (on road signage),止まれ,とまれ,,止まれ,EXPRESSION,,,,{transportation},461f8d91-ff08-5cf0-a0a9-891008b85589,404,2022-08-12,,,,,,,,,,,,,
plain; field,野,の,,野,NOUN,,3,,,8e1502b1-e593-5485-867d-72fcb3b1217d,405,2022-09-09,,,,,,,,,,,,,
division into equal parts,等分,とうぶん,,等分,NOUN,,2,,,7d911224-17ff-5957-a840-cf56e5907439,406,2022-08-12,,,,,,,,,,,,,
bride,花嫁,はなよめ,,花嫁,NOUN,,2,,,e396a0a2-95a9-52dc-bbde-5bbc8d28c073,407,2022-08-12,,,,,,,,,,,,,
master; teacher,師匠,ししょう,,師匠,NOUN,,,,,3f9be32c-56f7-5543-98b0-5f145ab43669,408,2022-08-12,,,,,,,,,,,,,
order; request,ご注文,ごちゅもん,,ご注文,NOUN,,,,,b0f23319-1e7e-5eee-aa4c-1181b78ebeec,409,2022-08-12,,,,,,,,,,,,,
witch,魔女,まじょ,,魔女,NOUN,,,,,c495dd60-9438-5d9f-892e-6b37d6d88c4a,410,2022-08-12,,,,,,,,,,,,,
demon; ogre,鬼,おに,,鬼,NOUN,,3,,,52f192e3-6628-546b-80b5-f63547b440d5,411,2022-08-12,,,,,,,,,,,,,
devine spirit,神,かみ,,神,NOUN,,3,,,63f02942-2ba9-5ff6-aa84-be6ecd6f209d,412,2022-08-12,,,,,,,,,,,,,
travel; trip; journey,旅,たび,,旅,NOUN,,3,,,abbcc24b-a635-5aeb-b6ef-387d88099538,413,2022-08-12,,,,,,,,,,,,,
mandarin orange,みかん,みかん,,蜜柑,NOUN,,,,,5050503b-7db6-47be-bef8-66ce9bd0088b,414,2022-10-06,,,,,,,,,,,,,
firefly,ほたる,ほたる,,蛍,NOUN,,1,,{animal},4a6ab2b4-2801-4faf-89c5-87a4651ec4d9,415,2022-10-06,,,,,,,,,,,,,
small candy store,駄菓子屋,だがしや,,駄菓子屋,NOUN,,,,,f5b5faa4-94d4-4ecc-896c-49e6bb18144d,416,2022-10-06,,,,,,,,,,,,,
light music,軽音楽,けいおんがく,,軽音楽,NOUN,,1,,,aeac8e75-ade1-55a0-b4d0-4203dc90df45,417,2022-08-19,,,,,,,,,,,,,
club; department (of company),部,ぶ,,部,NOUN,,1,,,300bed58-ddab-5420-8396-3147573388c3,418,2022-08-12,,,,,,,,,,,,,
stroll,散歩,さんぽ,,散歩,NOUN,,5,,,3e15a011-580f-46c7-a59c-b17b6cb530a4,419,2022-10-06,,,,,,,,,,,,,
small child; cute small version of someone,チビ,ちび,,,NOUN,,,,,e2a1e5ef-c9d8-5554-a912-e6014d2c0f35,420,2022-08-13,,,,,,,,,,,,,
cute,かわいい,かわいい,,可愛い,ADJECTIVE,I_ADJECTIVE,5,,,2c0b911e-ac72-5c04-bfd3-ebcd9e988dee,421,2022-08-13,,かわいい,かわいかった,,かわいくない,かわいくなかった,,,,,,,
counter for people,〜人,にん,,〜人,COUNTER,,,{GENKI3_L07},,356f27dd-22ca-4e95-b637-6ee6c52855f2,422,2022-09-26,,,,,,,,,,,,,
1 person; alone; single,一人,ひとり,,一人,NOUN,,5,{GENKI3_L07},,63328d5a-cff9-459a-bc29-b0ce33776a95,423,2022-09-26,,,,,,,,,,,,,
two people,二人,ふたり,,二人,NOUN,,5,{GENKI3_L07},,2ef7fa68-00e9-438c-8a78-e8e1b10cd274,424,2022-09-26,,,,,,,,,,,,,
heated table,こたつ,こたつ,,,NOUN,,1,,,281d7359-80a0-519d-9c57-504f35bfd5ee,425,2022-08-13,,,,,,,,,,,,,
Japanese bedding,布団,ふとん,,布団,NOUN,,4,,,c3f5ef65-8025-5f56-b5e1-efc61a1c81bc,426,2022-08-13,,,,,,,,,,,,,
to collect; to assemble; to gather,集める,あつめる,,集める,VERB,ICHIDAN_VERB,4,,,49dcb689-b576-56c7-b9f6-1da98acb2667,427,2022-08-22,,,,,,,,,,,,,
cheers,乾杯,かんぱい,,乾杯,NOUN,,2,,,4f3a6c3d-94a5-54c7-bd5c-c16d008d8cf7,428,2022-08-27,,,,,,,,,,,,,
laundry,洗濯,せんたく,,洗濯,NOUN,,5,,,4a03f495-c343-5e8f-a1fe-fd1b6624f63a,429,2022-08-29,,,,,,,,,,,,,
starry sky,星空,ほしぞら,,星空,NOUN,,,,,4126b8e5-2e98-52ad-b637-7bd8ed566781,430,2022-08-29,,,,,,,,,,,,,
"lively, energetic; well, healthy",元気,げんき,,元気,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,ee877e49-b3e4-5e51-a969-c620c8407809,431,2022-09-02,,元気だ,元気だった,,元気じゃない,元気じゃなかった,,,,,,,
"desire, wish; request",願い,ねがい,,願い,NOUN,,3,{DUO_U03},,4b7cb2ac-7b91-54eb-86e3-2366f5e802bb,432,2022-09-02,,,,,,,,,,,,,
request; favor to ask,お願い,おねがい,,お願い,NOUN,,5,,,689e561f-b2a7-44ca-bac7-0a7dbcf68d0a,433,2022-11-09,,,,,,,,,,,,,
to request; to ask a favor,お願いする,おねがいする,,お願いする,VERB,SURU_VERB,5,,,1d9fa8be-94a8-565a-93a3-973da9e759fa,434,2022-09-02,,お願いする,お願いした,お願いして,お願いしない,お願いしなかった,お願いしなくて,お願いします,お願いしました,,お願いしません,お願いしませんでした,
mochi,もち,もち,,餅,NOUN,,2,,,59f26319-a287-5600-95b4-714e7fe21547,435,2022-09-07,,,,,,,,,,,,,
autum colors; red leaves,紅葉,こうよう,,紅葉,NOUN,,2,,,43dce298-e577-5174-8f14-ecb525e67d38,436,2022-09-07,,,,,,,,,,,,,
Japanese maple,紅葉,もみじ,,紅葉,NOUN,,2,,,2100c24a-9ffb-436a-ab74-8f56ef0e338a,437,2022-09-07,,,,,,,,,,,,,
excited; trembling; getting nervous,わくわく,わくわく,,,ADVERB,,,,,25032880-e2a8-54f3-8681-22172c54b84a,438,2022-09-07,,,,,,,,,,,,,
being too late; losing one's final chance​,手遅れ,ておくれ,,手遅れ,NOUN,,1,,,94bb3768-7278-5e58-80cb-f5c809726ef1,439,2022-09-10,,,,,,,,,,,,,
food,食べ物,たべもの,,食べ物,NOUN,,5,{GENKI3_L05},,cdb482ec-df51-5e19-8c72-08a8cb1c0a3e,440,2022-09-07,,,,,,,,,,,,,
drink,飲み物,のみもの,,飲み物,NOUN,,5,{GENKI3_L05},,cf8e1efb-b036-56e8-ad12-5e06f9b26bde,441,2022-09-07,,,,,,,,,,,,,
holiday; day off; absence,休み,やすみ,,休み,NOUN,,5,{GENKI3_L05},,5d5eb0f1-6cb0-5383-8797-49330b70b84c,442,2022-09-07,,,,,,,,,,,,,
travel; trip; journey,旅行,りょこう,,旅行,NOUN,,5,{GENKI3_L05},,885a798b-20d9-5279-ba34-8324db75f028,443,2022-09-07,,,,,,,,,,,,,
sea,海,うみ,,海,NOUN,,5,{GENKI3_L05},,b569a875-d88f-5e2a-b063-0f3f29f06094,444,2022-09-07,,,,,,,,,,,,,
waterway; channel,澪,みお,,澪,NOUN,,,,,b0188056-54cc-55e1-8cbd-418370ed533d,445,2022-09-07,,,,,,,,,,,,,
surfing,サーフィン,すうふぃん,,,NOUN,,,{GENKI3_L05},,ed499008-cde3-543e-a0d9-693e001b321c,446,2022-09-07,,,,,,,,,,,,,
souvenir,お土産,おみやげ,,お土産,NOUN,,4,{GENKI3_L05},,fa1bca4b-31a8-5488-a6d9-5b5a3fe927b8,447,2022-09-07,,,,,,,,,,,,,
bus,バス,ばす,,,NOUN,,5,{GENKI3_L05},,2d402f9c-7727-5394-b6d5-8767371af073,448,2022-09-07,,,,,,,,,,,,,
weather,天気,てんき,,天気,NOUN,,5,{GENKI3_L05},,4c1ba9fa-920a-5646-8869-d84d39e842a3,449,2022-09-07,,,,,,,,,,,,,
homework,宿題,しゅくだい,,宿題,NOUN,,5,{GENKI3_L05},,a1bfcd70-a853-50b0-955b-32fe355c2700,450,2022-09-07,,,,,,,,,,,,,
test,テスト,てすと,,,NOUN,,5,{GENKI3_L05},,dee18a86-fd39-54bc-9a77-ee24ba39c17c,451,2022-09-07,,,,,,,,,,,,,
birthday,誕生日,たんじょうび,,誕生日,NOUN,,5,{GENKI3_L05},,6d4b95c5-1f5a-50e0-aa8b-5558e8211486,452,2022-09-07,,,,,,,,,,,,,
size L,Ｌサイズ,えるさいず,,,NOUN,,1,{GENKI3_L05},,deb66e89-8251-5b46-9bb1-b1338aaa4e62,453,2022-09-07,,,,,,,,,,,,,
new,新しい,あたらしい,,新しい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,3ea98874-cf05-5e92-b8f2-45751b667e83,454,2022-09-07,,新しい,新しかった,,新しくない,新しくなかった,,,,,,,
old (thing); ancient,古い,ふるい,,古い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,9ab38a71-325c-5f1b-b0aa-d9c5ce43b888,455,2022-09-07,,古い,古かった,,古くない,古くなかった,,,,,,,
hot weather,暑い,あつい,,暑い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,21d6fb85-2f85-5a8c-a29b-375f90b9803e,456,2022-09-07,,暑い,暑かった,,暑くない,暑くなかった,,,,,,,
cold weather,寒い,さむい,,寒い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,dbeefce5-aaa6-5694-985d-6771413fa0fd,457,2022-09-07,,寒い,寒かった,,寒くない,寒くなかった,,,,,,,
hot thing,熱い,あつい,,熱い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,9a7ac507-ea08-5187-ad27-04615036db05,458,2022-09-07,,熱い,熱かった,,熱くない,熱くなかった,,,,,,,
busy people/days,忙しい,いそがしい,,忙しい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,36bbdf48-c6cf-502b-85a2-26bec94171c5,459,2022-09-07,,忙しい,忙しかった,,忙しくない,忙しくなかった,,,,,,,
large,大きい,おおきい,,大きい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,9c26c29d-c047-519d-bd01-6eb035e74752,460,2022-09-07,,大きい,大きかった,,大きくない,大きくなかった,,,,,,,
small,小さい,ちいさい,,小さい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,bbdc1a0a-1d15-5484-89ac-e3594f2d0e70,461,2022-09-07,,小さい,小さかった,,小さくない,小さくなかった,,,,,,,
interesting; funny,面白い,おもしろい,,面白い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,14eb54bb-8d5f-50c2-b2e7-9b89a32a18f6,462,2022-09-07,,面白い,面白かった,,面白くない,面白くなかった,,,,,,,
boring,つまらない,つまらない,,詰まらない,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,2e46c8d1-bb5e-5c96-9e63-b1d4fc035da1,463,2022-09-07,,つまらない,つまらなかった,,つまらなくない,つまらなくなかった,,,,,,,
easy (problem),やさしい,やさしい,,易しい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,ce5f2a5f-821f-5a5f-b5e5-6b59658ee781,464,2022-09-07,,やさしい,やさしかった,,やさしくない,やさしくなかった,,,,,,,
kind (person),優しい,やさしい,,優しい,ADJECTIVE,I_ADJECTIVE,4,,,f0506ed6-e8ae-5d80-90bc-d527638693f8,465,2022-09-07,,優しい,優しかった,,優しくない,優しくなかった,,,,,,,
difficult,難しい,むずかしい,,難しい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,835597f8-7be1-561d-8ef8-9c73316e9b49,466,2022-09-07,,難しい,難しかった,,難しくない,難しくなかった,,,,,,,
good-looking; cool,かっこいい,かっこいい,,格好いい,ADJECTIVE,YOI_ADJECTIVE,,{GENKI3_L05},,46305ec7-a809-547e-bb67-8533f9059b26,467,2022-09-07,,かっこいい,かっこよかった,,かっこよくない,かっこよくなかった,,,,,,,
frightening,怖い,こわい,,怖い,ADJECTIVE,I_ADJECTIVE,4,{GENKI3_L05},,b28e9f01-a176-5cfa-b00b-e1fd1552f02d,468,2022-09-07,,怖い,怖かった,,怖くない,怖くなかった,,,,,,,
fun,楽しい,たのしい,,楽しい,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,03824733-2e97-5d1e-8705-2520abf86985,469,2022-09-07,,楽しい,楽しかった,,楽しくない,楽しくなかった,,,,,,,
inexpensive; cheap (thing),安い,やすい,,安い,ADJECTIVE,I_ADJECTIVE,5,{GENKI3_L05},,a1c2f5e9-df18-5d9f-83db-7d30491b502d,470,2022-09-07,,安い,安かった,,安くない,安くなかった,,,,,,,
disgusted with; to dislike,嫌い,きらい,,嫌い,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,cad48907-4908-5de4-8ee7-0c78c98ab755,471,2022-09-07,,嫌いだ,嫌いだった,,嫌いじゃない,嫌いじゃなかった,,,,,,,
very fond of; to love,大好き,だいすき,,大好き,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,f12880cb-86c7-5720-8773-a1cdfbe838f7,472,2022-09-07,,,,,,,,,,,,,
to hate,大嫌い,だいきらい,,大嫌い,ADJECTIVE,NA_ADJECTIVE,,{GENKI3_L05},,f610a74c-6229-5d19-b214-c183c4a1d92b,473,2022-09-07,,,,,,,,,,,,,
neither like nor dislike it,好きでも嫌いでもないです,すきでもきらいでもないです,,好きでも嫌いでもないです,EXPRESSION,,,{GENKI3_L05},,439064cf-bf88-40b4-91ae-12440a980aec,474,2022-11-12,,,,,,,,,,,,,
beautiful; clean,きれい,きれい,,,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,8218a74b-27ab-5310-80f8-8cca81609f73,475,2022-09-07,,きれいだ,きれいだった,,きれいじゃない,きれいじゃなかった,,,,,,,
quiet,静か,しずか,,静か,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,489610bc-c907-5de6-a0e7-acbeba740f3d,476,2022-09-07,,静かだ,静かだった,,静かじゃない,静かじゃなかった,,,,,,,
lively,賑やか,にぎやか,,賑やか,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,96e3bcd4-e542-5d84-8576-c33f94149bc8,477,2022-09-07,,賑やかだ,賑やかだった,,賑やかじゃない,賑やかじゃなかった,,,,,,,
not busy; free (time),暇,ひま,,暇,ADJECTIVE,NA_ADJECTIVE,5,{GENKI3_L05},,585dccbc-01ad-5691-95c0-a5d402db619d,478,2022-09-07,,暇だ,暇だった,,暇じゃない,暇じゃなかった,,,,,,,
to swim,泳ぐ,およぐ,,泳ぐ,VERB,GODAN_VERB,5,{GENKI3_L05},,4ae77db0-2b66-543a-8d78-8e51c4cb0676,479,2022-09-07,,泳ぐ,泳いだ,泳いで,泳がない,泳がなかった,泳がなくて,泳ぎます,泳ぎました,,泳ぎません,泳ぎませんでした,
to ride; to board,乗る,のる,,乗る,VERB,GODAN_VERB,5,{GENKI3_L05},,2bcd828d-02d9-5834-8e4e-2a9fdecb800f,480,2022-09-07,,乗る,乗った,乗って,乗らない,乗らなかった,乗らなくて,乗ります,乗りました,,乗りません,乗りませんでした,
to do; to perform; to play (a game),やる,やる,,,VERB,GODAN_VERB,1,{GENKI3_L05},,43056e9d-b789-5d3b-ae22-ccd5feca4e1a,481,2022-09-07,,やる,やった,やって,やらない,やらなかった,やらなくて,やります,やりました,,やりません,やりませんでした,
to go out,出かける,でかける,,出かける,VERB,ICHIDAN_VERB,5,{GENKI3_L05},,87f65ff6-cc11-5ed3-ae0f-91cd20cf2c32,482,2022-09-07,,出かける,出かけた,出かけて,出かけない,出かけなかった,出かけなくて,出かけます,出かけました,,出かけません,出かけませんでした,
exit,出口,でぐち,,出口,NOUN,,5,,,6debd947-e8ba-512e-8457-8bf0e7ea9e5b,483,2022-09-07,,,,,,,,,,,,,
together (with); at the same time;,一緒に,いっしょに,,一緒に,ADVERB,,,{GENKI3_L05},,3121a086-d388-5e2d-87ea-42928a70bdb2,484,2022-09-07,,,,,,,,,,,,,
extremely,すごく,すごく,,凄く,ADVERB,,,{GENKI3_L05},,0dbac8fa-7de5-557b-a950-da804909a322,485,2022-09-07,,,,,,,,,,,,,
very,とても,とても,,,ADVERB,,5,{GENKI3_L05},,49100de9-fba3-596c-a2d2-d7d268716d82,486,2022-09-07,,,,,,,,,,,,,
what kind of...,どんな,どんな,,,PRE_NOUN_ADJECTIVAL,,3,{GENKI3_L05},,a7e30acf-baa9-5c69-b41d-b344f631a8a6,487,2022-09-07,,,,,,,,,,,,,
lets...,〜ましょう,〜ましょう,,,SUFFIX,,,{GENKI3_L05},,17cbc2b7-df6c-4861-b402-d65d6e964e35,488,2022-11-13,,,,,,,,,,,,,
counter for flat objects,〜枚,〜まい,,〜枚,COUNTER,,1,{GENKI3_L05},,acbf41df-4c3c-58fe-b99e-30d088bafb4f,489,2022-09-07,,,,,,,,,,,,,
grass,草,くさ,,草,NOUN,,4,,,705836bd-ede4-4766-b461-1b31b77670ce,490,2022-10-18,,,,,,,,,,,,,
rock,岩,いわ,,岩,NOUN,,3,,,3cdcdc1a-12df-4976-99f0-790caea5bb4e,491,2022-10-18,,,,,,,,,,,,,
snow,雪,ゆき,,雪,NOUN,,5,{GENKI3_L08},,1c37cf6a-0658-475d-a9c8-a4ea52137029,492,2022-10-18,,,,,,,,,,,,,
Ms. (girl),〜ちゃん,ちゃん,,,SUFFIX,,4,,,c0e4b32f-1310-43d5-af64-b603c84c9f3a,493,2022-10-25,,,,,,,,,,,,,
Mr. (boy),〜君,くん,,君,SUFFIX,,4,,,0671d3cc-dfba-4f30-8782-69ceb2c757d7,494,2022-10-25,,,,,,,,,,,,,
Mr/Miss (honorific),〜様,さま,,様,SUFFIX,,1,,,74cc48bc-dd21-4277-9f73-9d16c7e69fe9,495,2022-10-25,,,,,,,,,,,,,
(my) dad,父,ちち,,父,NOUN,,,{GENKI3_L07},,685db54c-3d62-4fb2-b18e-28bfdf659461,496,2022-10-25,,,,,,,,,,,,,
(my) mom,母,はは,,母,NOUN,,,{GENKI3_L07},,48985c71-3274-4715-9a7c-a7f4e61144e5,497,2022-10-25,,,,,,,,,,,,,
tummy torture; food terrorism,飯テロ,めしてろ,,飯テロ,NOUN,,,,{food},321b332a-43be-46d2-8e2a-b49a3a18fa13,498,2022-10-18,,,,,,,,,,,,,
lonely; solitary,寂しい,さびしい,,寂しい,ADJECTIVE,I_ADJECTIVE,4,,,dd54072a-e05a-4b60-a493-578ef2cb015f,499,2022-09-07,,,,,,,,,,,,,
mouth is lonely,口寂しい,くちさびしい,,口寂しい,ADJECTIVE,I_ADJECTIVE,,,,aa063477-ef31-4780-9af0-85bc0daccbcf,500,2022-10-06,,,,,,,,,,,,,
tidal wave,津波,つなみ,,津波,NOUN,,1,,,9602b36a-fef2-58f6-a53a-84283766c73d,501,2022-09-17,,,,,,,,,,,,,
typhoon,台風,たいふう,,台風,NOUN,,4,,,18483a29-02d3-5d72-be2f-2e865c5689a1,502,2022-09-17,,,,,,,,,,,,,
earthquake,地震,じしん,,地震,NOUN,,4,,,932265f2-4f7c-5f7d-b31d-cb211276ae8d,503,2022-09-17,,,,,,,,,,,,,
lake,湖,みずうみ,,湖,NOUN,,4,,,890ba235-9527-4fe0-91bd-93629049bfb9,504,2022-10-09,,,,,,,,,,,,,
lake (place suffix),~湖,こ,,~湖,NOUN,,,,,4a460208-8302-4310-ad5a-1bddeaa9f6ed,505,2022-10-09,,,,,,,,,,,,,
"rice (husked, uncooked)",米,こめ,,米,NOUN,,4,,{food},61d1e705-cff1-4878-80a3-79621573e4d0,506,2022-10-09,,,,,,,,,,,,,
matcha,抹茶,まっちゃ,,抹茶,NOUN,,,,{food},65b11105-952e-4063-88a5-0e79208e9416,507,2022-10-11,,,,,,,,,,,,,
"cooking, esp. frying",焼き,やき,,焼き,NOUN,,,,{food},fbd864eb-69c2-42e7-8025-c8874a7adf1c,508,2022-10-25,,,,,,,,,,,,,
to assist; to help,手伝う,てつだう,,手伝う,VERB,GODAN_VERB,4,{GENKI3_L06},,efc52f0e-dabf-46c7-b2ad-26e571ae6d45,509,2022-10-12,,手伝う,手伝った,手伝って,手伝わない,手伝わなかった,手伝わなくて,手伝います,手伝いました,,手伝いません,手伝いませんでした,
help me please (formal),手伝ってください,てつだってください,,手伝ってください,EXPRESSION,,,,,98e17f90-7254-4559-aaab-3994c94f4a5b,510,2022-10-12,,,,,,,,,,,,,
help me please (casual),手伝って,てつだって,,手伝って,EXPRESSION,,,,,2f9f5860-7c39-49b6-8fd2-98ec4b1cc956,511,2022-10-12,,,,,,,,,,,,,
hooray,やった,やった,,,EXPRESSION,,,,,71518b72-71c5-4db0-9e05-e23304302703,512,2022-10-23,,,,,,,,,,,,,
darkness; despair,闇,やみ,,闇,NOUN,,,,,67417de0-0d2d-4c96-8343-426adba45ecb,513,2022-10-28,,,,,,,,,,,,,
wander; loiter; putter,さまよう,さまよう,,彷徨う,VERB,GODAN_VERB,,,,5b2f7659-36f5-49eb-bfe9-7eabf7790726,514,2022-10-28,,さまよう,さまよった,さまよって,さまよわない,さまよわなかった,さまよわなくて,さまよいます,さまよいました,,さまよいません,さまよいませんでした,
only; simply; to the extent of,だけ,だけ,,,PARTICLE,,1,,,2041019c-3b5f-4ad6-803e-f94ca34dc725,515,2022-10-28,,,,,,,,,,,,,
anticipation; looking forward,楽しみ,たのしみ,,,NOUN,,4,{SATORI_AKIKO},,b6c9813d-5289-4b39-8a74-b5f33c33caab,516,2022-10-28,,,,,,,,,,,,,
diary; journal,日記,にっき,,,NOUN,,4,{SATORI_AKIKO},,b1d00880-96a1-4022-83e8-37b3d194641a,517,2022-10-28,,,,,,,,,,,,,
this morning,今朝,けさ,,,NOUN,,5,"{GENKI3_L08,SATORI_AKIKO}",,08e9dd32-2b1b-4607-be8e-d478b4b61dcc,518,2022-10-28,,,,,,,,,,,,,
"from (e.g. time, place, numerical); since",から,から,,,PARTICLE,,,{SATORI_AKIKO},,a10a6ed4-5532-49e3-b3d5-85ce530a2e68,519,2022-10-28,,,,,,,,,,,,,
to fly; to soar,飛ぶ,とぶ,,,VERB,GODAN_VERB,5,{SATORI_AKIKO},,66b9dcc9-149e-4639-812b-d3a37529ddd5,520,2022-10-28,,飛ぶ,飛んだ,飛んで,飛ばない,飛ばなかった,飛ばなくて,飛びます,飛びました,,飛びません,飛びませんでした,
Seattle,シアトル,しあとる,,,PROPER_NOUN,,,{SATORI_AKIKO},"{city,place}",9e9f9643-20da-4b45-81cf-6529c352b762,521,2022-10-28,,,,,,,,,,,,,
airport,空港,くうこう,,空港,NOUN,,4,{SATORI_AKIKO},{place},9faa758c-5112-402d-8ef9-fd45059aac84,522,2022-10-28,,,,,,,,,,,,,
some time ago; just now,さっき,さっき,,,NOUN,,4,{SATORI_AKIKO},,462fbcf0-f756-490d-badd-58bbaad4b8a9,523,2022-10-28,,,,,,,,,,,,,
evening meal; dinner,夕食,ゆうしょく,,夕食,NOUN,,,{SATORI_AKIKO},{food},573b3e35-e29b-43d9-897a-f1ae85712b8f,524,2022-10-28,,,,,,,,,,,,,
together,一緒,いっしょ,,一緒,ADVERB,,5,{SATORI_AKIKO},,cef0ee5e-ff0d-41de-a8e1-795266b6e565,525,2022-10-28,,,,,,,,,,,,,
common carp,鯉,こい,,鯉,NOUN,,,,{animal},40181bee-9f80-4458-b950-5a03ad5c696b,526,2022-10-30,,,,,,,,,,,,,
romantic love,恋,こい,,恋,NOUN,,3,,,c45eae5d-011d-4200-9dd7-be3ec1c2bf51,527,2022-10-30,,,,,,,,,,,,,
boyfriend/girlfriend; lover,恋人,こいびと,,恋人,NOUN,,3,,,640bcc29-e162-4c4d-ad37-fb7e38525f00,528,2022-10-30,,,,,,,,,,,,,
first love; puppy love,初恋,はつこい,,初恋,NOUN,,,,,37b16f64-6ecc-4167-a55d-eab2255d1235,529,2022-11-02,,,,,,,,,,,,,
love,愛,あい,,愛,NOUN,,3,,,5fa42b1b-fb16-434f-8764-b1106aacfe13,530,2022-10-30,,,,,,,,,,,,,
to love,愛する,あいする,,愛する,VERB,SURU_VERB,3,,,72a0ccac-caea-43df-9099-076bae09c6e4,531,2022-10-30,,愛する,愛した,愛して,愛さない,愛しなかった,愛しなくて,愛します,愛しました,,愛しません,愛しませんでした,
thorn,刺,とげ,,刺,NOUN,,1,,,9654de24-9624-4834-aec3-4d26a88c3c79,532,2022-10-30,,,,,,,,,,,,,
thorny shrub; wild rose,茨,いばら,,茨,NOUN,,,,,c108107d-4842-4ff4-ac72-a221ce7c2f91,533,2022-10-30,,,,,,,,,,,,,
princess,姫,ひめ,,姫,NOUN,,,,,b08173f1-4500-4da6-81ee-cd7421bb3686,534,2022-10-30,,,,,,,,,,,,,
good; excellent; fine; agreeable,良い,よい,,良い,ADJECTIVE,I_ADJECTIVE,5,,,bd75e0c9-27e6-4f6f-803f-bb0ee9236290,535,2022-10-30,,,,,,,,,,,,,
want to do; would like to... (verb desire form),〜たい,たい,,,SUFFIX,,,,,e00b722d-5ec2-43b3-b972-157994823148,536,2022-10-31,,,,,,,,,,,,,
fireworks,花火,はなび,,花火,NOUN,,2,,,3bdf59a1-7f82-4e77-851b-462abfece32e,537,2022-11-03,,,,,,,,,,,,,
dictionary,辞書,じしょ,,辞書,NOUN,,5,,,8c2f94a9-ba53-4f55-931d-ca84f5264280,538,2022-11-06,,,,,,,,,,,,,
"dictionary (formal, expansive)",辞典,じてん,,辞典,NOUN,,4,,,0840f9a3-9712-4e33-9280-6e652015cc1f,539,2022-11-06,,,,,,,,,,,,,
encyclopedia,事典,じてん,,事典,NOUN,,,,,7793dcc0-cdf5-4844-bf94-17ccfaffd08d,540,2022-11-06,,,,,,,,,,,,,
word,単語,たんご,,単語,NOUN,,3,,,7651476c-6696-4e43-bc7b-ee17b7029ba3,541,2022-11-06,,,,,,,,,,,,,
vocabulary; lexicon,語彙,ごい,,語彙,NOUN,,1,,,cb2ffba7-427d-4fcd-a2d1-156d649a4343,542,2022-11-06,,,,,,,,,,,,,
